"Latitude","Longitude"
46.436862,7.155687
46.441592,7.158538
46.442244,7.153017
46.443401,7.162433
46.453143,7.193946
46.2204,7.095529
46.2204,7.096429
46.2231,7.097329
46.2267,7.102729
46.2321,7.091929
46.2393,7.097329
46.2654,7.218829
45.9855,7.788529
46.1952,7.621129
46.5309,7.137829
46.5336,7.142329
46.0125,7.730029
46.0242,7.741729
46.2258,6.883129
46.3554,8.027929
46.359,8.031529
46.3734,8.020729
46.3743,8.026129
46.3761,8.025229
46.3833,7.994629
46.3878,7.993729
46.3905,7.994629
46.3941,8.091829
46.395,7.995529
46.7289,9.577729
46.944,10.329229
46.369086,7.954062
46.031299,7.075552
46.044,8.561629
46.1124,8.657929
46.1151,8.656129
46.1241,9.057529
46.125,9.060229
46.1268,9.059329
46.1286,9.060229
46.1295,9.056629
46.1322,9.062929
46.1331,9.064729
46.1331,9.068329
46.1763,9.113329
46.1763,9.125929
46.1772,9.121429
46.1772,9.131329
46.220746,7.100869
46.231072,7.092093
46.369068,7.960886
46.154874,7.470597
46.653278,7.911372
46.653323,7.911537
46.653352,7.911811
46.65339,7.912121
46.653718,7.911089
46.653843,7.911729
46.027459,7.13161
46.781455,9.904427
46.781535,9.904041
46.095893,7.498014
46.222115,8.738433
46.22617,7.38643
46.232686,8.720317
46.247464,10.10766
46.29499,7.15027
46.299476,7.368921
46.318463,9.105249
46.347802,7.899263
46.348646,7.895409
46.36028,7.97806
46.377598,8.216842
46.432182,9.93674
46.45439,9.550516
46.454738,9.550061
46.478198,7.506034
46.485841,7.507678
46.49186,8.905354
46.504648,7.142785
46.504688,7.142854
46.506018,7.14318
46.52943,7.551937
46.531488,7.556972
46.533205,7.554947
46.544117,8.883554
46.585524,8.296226
46.634595,9.376079
46.640281,8.675935
46.642448,10.30697
46.728547,7.297104
46.799958,8.479162
46.80378,10.285793
46.81222,10.269273
46.854171,9.860666
46.895303,8.903925
46.971039,10.389469
46.971653,10.390476
46.011232,7.764007
46.011638,7.760099
46.01407,7.764131
46.015462,7.766798
46.141854,8.687398
46.22852,7.232714
46.234863,7.865494
46.289441,7.140834
46.440471,8.191888
46.447752,7.04045
46.463158,9.666696
46.46856,9.519036
46.472542,9.517148
46.486101,7.111576
46.488054,8.615369
46.488544,7.510038
46.488745,7.510004
46.489167,7.108622
46.489414,8.616248
46.490371,7.50972
46.490786,7.509735
46.515174,7.165121
46.517289,7.167825
46.519259,7.173098
46.519684,7.171445
46.527502,7.165052
46.529237,7.177422
46.529921,7.176782
46.53105,7.173163
46.533019,7.173917
46.533966,7.157668
46.535457,7.156972
46.538761,7.162853
46.542771,7.169379
46.544749,8.249062
46.545657,8.252547
46.54578,8.254372
46.545818,8.254267
46.545829,8.251555
46.545865,8.25471
46.546013,8.256925
46.546099,8.255275
46.547399,8.260733
46.548704,8.269294
46.54879,7.186355
46.555524,7.187227
46.583527,9.791579
46.61279,7.629729
46.613163,7.624117
46.620033,8.637395
46.621866,9.002127
46.628,9.01127
46.695567,9.361508
46.696384,9.361002
46.821032,9.746698
46.842157,10.396243
46.842195,10.39605
46.842242,10.394259
46.884974,8.541208
46.081206,7.489959
46.081517,7.487681
46.081993,7.489604
46.082364,7.488587
46.160328,7.152886
46.164243,7.151859
46.164709,7.160485
46.177532,7.498296
46.197589,7.789534
46.34168,7.463407
46.348211,10.035769
46.434398,9.550184
46.434772,9.028776
46.436061,9.029776
46.438181,7.56725
46.438367,7.563716
46.439513,9.031783
46.478848,6.994626
46.479745,6.994642
46.506739,7.472926
46.50691,7.464025
46.508053,7.471496
46.508234,7.468512
46.524363,7.49569
46.524758,7.494207
46.534792,7.004357
46.535236,7.008747
46.53529,7.005192
46.541206,9.229014
46.543733,9.229128
46.544256,9.226633
46.544729,9.231762
46.548522,8.2685
46.549096,9.219622
46.620938,9.478358
46.621167,9.480064
46.622372,7.629813
46.623607,7.636984
46.668825,10.046206
46.814662,10.315009
46.046016,7.557206
46.049665,7.553968
46.105677,7.770917
46.106105,7.769012
46.107695,7.449066
46.10822,7.76754
46.108948,7.767256
46.110616,7.451787
46.113023,7.770088
46.284605,8.659519
46.342822,7.595091
46.385187,9.710183
46.385553,9.71017
46.417683,9.744712
46.418147,9.74525
46.418371,9.744286
46.427322,9.638592
46.427699,9.638474
46.490333,8.615909
46.490576,8.617631
46.492379,8.607933
46.492481,8.609079
46.517055,7.543852
46.52233,7.550618
46.545479,8.363369
46.602995,9.282329
46.612416,9.958325
46.645188,10.337904
46.645432,10.33792
46.67513,9.56967
46.729117,9.491431
46.790703,9.479573
46.79143,9.479526
46.805012,9.805702
46.807762,9.811193
46.814524,10.308213
46.833712,9.327999
46.837137,8.928345
46.838145,8.924191
46.873538,10.435679
46.874271,10.341872
46.875298,10.340498
46.875336,10.432858
46.87681,10.431138
46.87701,9.237259
46.915476,9.913905
46.948504,10.359773
46.948745,10.357528
47.278617,9.493508
47.279992,9.490364
46.4238,6.100129
46.4238,6.101029
46.4247,6.100129
46.4247,6.102829
46.4265,6.102829
46.4283,6.101929
46.4292,6.101929
46.4337,6.109129
